State,County,Drug poisoning deaths,Premature death
NC,Alamance County,10.48,7123
NC,Alamance County,12.38,7291
NC,Alexander County,22.74,7974
NC,Alexander County,24.04,8079
NC,Alleghany County,18.18,8817
NC,Alleghany County,19.38,7324
NC,Anson County,11.23,10220
NC,Anson County,12.84,9599
NC,Ashe County,16.18,7521
NC,Ashe County,18.6,7900
NC,Avery County,18.3,6812
NC,Avery County,20,7146
NC,Beaufort County,9.16,9400
NC,Beaufort County,9.67,8962
NC,Bertie County,,11207
NC,Bertie County,,8814
NC,Bladen County,10.8,11030
NC,Bladen County,13.99,9807
NC,Brunswick County,18.66,8349
NC,Brunswick County,21.73,8131
NC,Buncombe County,12.96,7026
NC,Buncombe County,12.11,6737
NC,Burke County,24.21,9240
NC,Burke County,24.75,8425
NC,Cabarrus County,14.3,6556
NC,Cabarrus County,12.42,6053
NC,Caldwell County,20.51,8966
NC,Caldwell County,20.17,9239
NC,Camden County,15.16,5064
NC,Camden County,14.56,6664
NC,Carteret County,19.11,8072
NC,Carteret County,18.47,7985
NC,Caswell County,11.98,7738
NC,Caswell County,12.66,9328
NC,Catawba County,15.36,8388
NC,Catawba County,16.94,8035
NC,Chatham County,6.19,5967
NC,Chatham County,8.24,5729
NC,Cherokee County,31.33,8521
NC,Cherokee County,34.07,9921
NC,Chowan County,,7213
NC,Chowan County,,7493
NC,Clay County,26.57,9463
NC,Clay County,28.66,8462
NC,Cleveland County,15.81,9594
NC,Cleveland County,16.81,9767
NC,Columbus County,19,12108
NC,Columbus County,20.76,11337
NC,Craven County,13.81,7777
NC,Craven County,11.99,7461
NC,Cumberland County,10.3,8956
NC,Cumberland County,11.93,8995
NC,Currituck County,9.98,7275
NC,Currituck County,13.38,7466
NC,Dare County,16.62,5869
NC,Dare County,16.88,6432
NC,Davidson County,16.27,7932
NC,Davidson County,17,7920
NC,Davie County,16.13,6014
NC,Davie County,14.7,6530
NC,Duplin County,5.4,8311
NC,Duplin County,5.96,7465
NC,Durham County,8.86,6979
NC,Durham County,9.48,6476
NC,Edgecombe County,8.39,10009
NC,Edgecombe County,8.9,9873
NC,Forsyth County,10.17,7332
NC,Forsyth County,12.03,7218
NC,Franklin County,10.51,7673
NC,Franklin County,10.61,7607
NC,Gaston County,22.31,9282
NC,Gaston County,22.9,8906
NC,Gates County,,9113
NC,Gates County,,8077
NC,Graham County,21.56,9226
NC,Graham County,27.87,12294
NC,Granville County,6.54,7765
NC,Granville County,9.5,6909
NC,Greene County,,7531
NC,Greene County,6.72,6891
NC,Guilford County,9.58,6974
NC,Guilford County,9.78,6628
NC,Halifax County,7.47,10941
NC,Halifax County,7.02,10903
NC,Harnett County,9.55,8643
NC,Harnett County,11.2,7918
NC,Haywood County,18.18,7745
NC,Haywood County,18.01,7698
NC,Henderson County,15.72,6873
NC,Henderson County,14.69,6755
NC,Hertford County,7.08,8977
NC,Hertford County,,8394
NC,Hoke County,9.06,7797
NC,Hoke County,9.06,8009
NC,Hyde County,,7202
NC,Hyde County,,9710
NC,Iredell County,14.57,7198
NC,Iredell County,16.05,7055
NC,Jackson County,18.2,7283
NC,Jackson County,17.37,7236
NC,Johnston County,8.65,7341
NC,Johnston County,9.48,7499
NC,Jones County,,8375
NC,Jones County,,10038
NC,Lee County,11.09,8413
NC,Lee County,13.63,8793
NC,Lenoir County,6.99,10935
NC,Lenoir County,9.88,9927
NC,Lincoln County,14.91,7758
NC,Lincoln County,16.77,7146
NC,Macon County,23.38,7125
NC,Macon County,19.98,8727
NC,Madison County,14,7660
NC,Madison County,13.17,6607
NC,Martin County,12.81,10798
NC,Martin County,14.08,8218
NC,McDowell County,19.68,7946
NC,McDowell County,20.12,7834
NC,Mecklenburg County,6.9,6039
NC,Mecklenburg County,7.43,5594
NC,Mitchell County,24.5,8311
NC,Mitchell County,23.8,7766
NC,Montgomery County,9.88,8828
NC,Montgomery County,8.27,9352
NC,Moore County,11.36,6997
NC,Moore County,11.17,7025
NC,Nash County,6.89,9178
NC,Nash County,8.74,8879
NC,New Hanover County,16.82,6525
NC,New Hanover County,17.2,6209
NC,Northampton County,,10148
NC,Northampton County,,10052
NC,Onslow County,9.31,7303
NC,Onslow County,10.93,7122
NC,Orange County,8.44,5063
NC,Orange County,9.01,4569
NC,Pamlico County,10.96,9428
NC,Pamlico County,,7279
NC,Pasquotank County,10.18,8052
NC,Pasquotank County,10.28,7662
NC,Pender County,11.15,8143
NC,Pender County,12.83,7791
NC,Perquimans County,,8837
NC,Perquimans County,,8813
NC,Person County,13.33,8370
NC,Person County,13.89,7850
NC,Pitt County,9.01,7946
NC,Pitt County,8.96,7610
NC,Polk County,17.1,7460
NC,Polk County,21.12,6747
NC,Randolph County,12.87,7925
NC,Randolph County,15.23,7771
NC,Richmond County,19.08,10344
NC,Richmond County,19.66,10599
NC,Robeson County,7.45,11614
NC,Robeson County,11.3,11259
NC,Rockingham County,17.34,9229
NC,Rockingham County,18.85,9155
NC,Rowan County,18.65,8483
NC,Rowan County,20.61,9034
NC,Rutherford County,22.17,8593
NC,Rutherford County,22.36,8369
NC,Sampson County,13.27,10349
NC,Sampson County,14.49,9385
NC,Scotland County,11.79,11100
NC,Scotland County,11.83,11011
NC,Stanly County,16.26,7933
NC,Stanly County,18.97,7824
NC,Stokes County,14.94,8566
NC,Stokes County,18.48,8181
NC,Surry County,17.61,8779
NC,Surry County,19.08,8092
NC,Swain County,32.29,13578
NC,Swain County,30.77,13560
NC,Transylvania County,18.81,7252
NC,Transylvania County,20.64,6363
NC,Tyrrell County,,9791
NC,Tyrrell County,,10757
NC,Union County,7.05,5752
NC,Union County,6.15,5213
NC,Vance County,14.37,10953
NC,Vance County,14.91,11130
NC,Wake County,6.66,4954
NC,Wake County,6.54,4775
NC,Warren County,,8576
NC,Warren County,,7925
NC,Washington County,,7919
NC,Washington County,,7107
NC,Watauga County,10.28,5173
NC,Watauga County,12.51,5006
NC,Wayne County,8.16,9197
NC,Wayne County,9.08,8763
NC,Wilkes County,28.89,9057
NC,Wilkes County,29.98,8673
NC,Wilson County,6,8490
NC,Wilson County,7.31,8028
NC,Yadkin County,18.45,7893
NC,Yadkin County,20.21,7258
NC,Yancey County,20.79,6872
NC,Yancey County,28.02,8917
